"PRODUCTID";"CODE_QUALIAC"
"CAT_9PS";"9PS"
"CAT_80RDT";"80RDT"
"CAT_812";"812"
"CAT_9RA";"9RA"
"CAT_8A2";"8A2"
"CAT_9RH";"9RH"
"CAT_9SF";"9SF"
"CAT_9SS";"9SS"
"CAT_9SX";"9SX"
"CAT_1**";"1**"
"CAT_GZA";"GZA"
"CAT_H**";"H**"
"CAT_9CX";"9CX"
"CAT_MSE";"MSE"
"CAT_PAT";"PAT"
"CAT_503";"503"
"CAT_RDE";"RDE"
"CAT_534";"534"
"CAT_RFO";"RFO"
"CAT_541";"541"
"CAT_542";"542"
"CAT_543";"543"
"CAT_RIO";"RIO"
"CAT_9IN";"9IN"
"CAT_80R";"80R"
"CAT_9CI";"9CI"
"CAT_9CP";"9CP"
"CAT_9DA";"9DA"
"CAT_MDT";"MDT"
"CAT_9DE";"9DE"
"CAT_DPP";"DPP"
